ID,url number,ACCIDENT LOCATION,ACCIDENT Date,Victim NUMBER,Vehicle 1,Vehicle 2,Vehicle 3
306,525,Jurain,2/3/2021 21:02,One,train,auto,
307,527,Charavita,2/3/2021 21:02,Two,bike,,
308,527,Jashore,2/3/2021 21:02,Two,bike,,
309,529,Narayanganj,2/4/2021 21:03,One,car,train,
310,529,Narayanganj,2/4/2021 21:03,One,car,train,
311,536,Khulna,2/5/2021 21:02,Zero,truck,auto,
312,536,city,2/5/2021 21:02,Zero,truck,auto,
313,541,Santhia,2/6/2021 21:02,one,truck,auto,
314,541,Santhia,2/6/2021 21:02,one,truck,auto,
316,552,Rampura,2/9/2021 21:01,two,bus,rickshaw,auto
317,552,Dhaka,2/9/2021 21:01,two,bus,rickshaw,auto
318,557,Unchiprang,2/10/2021 21:03,Four,bus,rickshaw,auto
319,558,Jhenaidah,2/11/2021 21:00,10,truck,bus,
320,558,Bangladesh,2/11/2021 21:00,10,truck,bus,
321,562,Teknaf,2/11/2021 21:00,four,bus,rickshaw,auto
322,562,Teknaf,2/11/2021 21:00,four,bus,rickshaw,auto
325,565,Jhenaidah,2/11/2021 21:03,Six,truck,bus,bike
326,565,Barobazar,2/11/2021 21:03,Six,truck,bus,bike
327,569,Harirampur,2/12/2021 21:01,Two,motorcycle,auto,
328,569,Manikganj,2/12/2021 21:01,Two,motorcycle,auto,
334,576,Bangladesh,2/14/2021 21:02,484,truck,auto,
335,576,Sylhet,2/14/2021 21:02,484,truck,auto,
338,597,Canada,2/19/2021 21:01,third,car,,
339,597,Arborg,2/19/2021 21:01,third,car,,
340,598,Bangladesh,2/19/2021 21:01,Three,truck,motorcycle,
341,598,Brahmanbaria,2/19/2021 21:01,Three,truck,motorcycle,
342,608,Jhenaidah,2/21/2021 21:01,21,truck,bus,
343,608,"

",2/21/2021 21:01,21,truck,bus,
344,612,Sirajganj,2/23/2021 21:04,seven,truck,bus,auto
345,612,Konabari,2/23/2021 21:04,seven,truck,bus,auto
346,613,Chapainawabganj,2/23/2021 21:04,two,truck,bike,motorcycle
347,615,Barisal,2/23/2021 21:04,15,truck,bus,train
348,615,Konabari,2/23/2021 21:04,15,truck,bus,train
349,622,Rashidpur,2/26/2021 21:03,26,truck,bus,car
350,622,Shajahanpur,2/26/2021 21:03,26,truck,bus,car
351,623,Bogra,2/26/2021 21:04,6686,bus,rickshaw,auto
352,626,Khulna,2/27/2021 21:01,four,truck,bike,auto
353,626,Satkhira,2/27/2021 21:01,four,truck,bike,auto
354,627,Khansama,2/27/2021 21:01,Seven,truck,bus,bike
355,627,Hamidul,2/27/2021 21:01,Seven,truck,bus,bike
358,636,Ashulia,3/1/2021 21:03,Two,truck,rickshaw,auto
359,636,Bangladesh,3/1/2021 21:03,Two,truck,rickshaw,auto
360,637,Bangladesh,3/1/2021 21:03,4284,bus,train,
361,643,Manirampur,3/4/2021 22:49,One,bike,motorcycle,
362,643,Jashore,3/4/2021 22:49,One,bike,motorcycle,
363,646,Narsingdi,3/6/2021 21:01,six,truck,motorcycle,rickshaw
364,646,Dhaka,3/6/2021 21:01,six,truck,motorcycle,rickshaw
367,650,Chittagong,3/6/2021 21:01,200,car,auto,
368,650,Chittagong,3/6/2021 21:01,200,car,auto,
369,652,Kushtia,3/6/2021 21:01,One,train,,
370,652,Kushtia,3/6/2021 21:01,One,train,,
371,653,Kolatoli,3/7/2021 21:01,three,truck,rickshaw,auto
372,657,Yusufpur,3/8/2021 21:01,One,motorcycle,auto,
373,657,Barisal,3/8/2021 21:01,One,motorcycle,auto,
374,658,Hakimpur,3/9/2021 21:01,One,bike,,
375,665,Comilla,3/12/2021 22:52,2,bus,,
376,667,Jessore,3/12/2021 22:52,two,bus,bike,
377,667,Khulna,3/12/2021 22:52,two,bus,bike,
378,668,Sreenagar,3/13/2021 22:52,One,bus,,
379,669,Mirsarai,3/13/2021 22:52,Four,bus,,
380,669,Chittagong,3/13/2021 22:52,Four,bus,,
381,676,Ruhit,3/15/2021 23:52,2006,car,,
382,676,Ruli,3/15/2021 23:52,2006,car,,
383,679,Bonpara,3/15/2021 23:52,three,truck,,
384,679,Boraigram,3/15/2021 23:52,three,truck,,
385,680,Lalpur,3/16/2021 23:52,One,train,,
386,680,Tanore,3/16/2021 23:52,One,train,,
387,688,Hailaghati,3/20/2021 23:52,three,truck,rickshaw,auto
